type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 02:46:58,-33.91798854,151.23181204,4.70,42.229,22.180,0.891,95,38,47,,
T,2023-10-13 02:46:59,-33.91797903,151.23182351,4.70,42.656,22.180,0.942,94,38,47,,
T,2023-10-13 02:47:00,-33.91797207,151.23183371,4.70,42.933,22.180,1.023,107,38,47,,
T,2023-10-13 02:47:01,-33.91796620,151.23184574,4.70,42.983,22.180,1.105,96,38,47,,
T,2023-10-13 02:47:02,-33.91796398,151.23185422,4.70,42.725,22.180,1.067,95,38,47,,
T,2023-10-13 02:47:03,-33.91796173,151.23186459,4.70,42.497,22.180,1.044,99,38,47,,
T,2023-10-13 02:47:04,-33.91796103,151.23187270,4.70,42.060,22.180,1.057,41,38,47,,
T,2023-10-13 02:47:05,-33.91795974,151.23188131,4.70,41.481,22.180,0.916,48,38,47,,
T,2023-10-13 02:47:06,-33.91796233,151.23188854,4.70,40.781,22.180,0.984,80,38,47,,
T,2023-10-13 02:47:07,-33.91796622,151.23189681,4.70,40.450,22.180,1.195,95,39,48,,
T,2023-10-13 02:47:08,-33.91796940,151.23190779,4.70,40.282,22.180,1.166,93,39,48,,
T,2023-10-13 02:47:09,-33.91797052,151.23191487,4.70,40.325,22.180,1.161,95,40,48,,
T,2023-10-13 02:47:10,-33.91797376,151.23192238,4.79,40.444,22.180,1.145,77,41,48,,
T,2023-10-13 02:47:11,-33.91797974,151.23192488,4.45,40.350,22.180,1.096,87,41,48,,
T,2023-10-13 02:47:12,-33.91798325,151.23192826,4.49,40.359,22.180,1.074,94,41,48,,
T,2023-10-13 02:47:13,-33.91798973,151.23193537,4.58,40.524,22.180,1.038,99,40,47,,
T,2023-10-13 02:47:14,-33.91799415,151.23193768,4.75,40.555,22.180,1.041,117,40,47,,
T,2023-10-13 02:47:15,-33.91799417,151.23194036,4.70,40.596,22.180,1.073,107,40,47,,
T,2023-10-13 02:47:16,-33.91799614,151.23194625,4.70,40.646,22.180,1.107,109,39,47,,
T,2023-10-13 02:47:17,-33.91799843,151.23195171,4.70,40.762,22.180,1.146,119,39,47,,
T,2023-10-13 02:47:18,-33.91799748,151.23195925,4.70,40.819,22.180,1.094,116,39,47,,
T,2023-10-13 02:47:19,-33.91799690,151.23196842,4.70,40.914,22.180,1.020,111,39,47,,
T,2023-10-13 02:47:20,-33.91799313,151.23197909,4.70,41.039,22.180,0.836,107,39,47,,
T,2023-10-13 02:47:21,-33.91799392,151.23199024,4.70,41.278,22.180,0.708,111,40,47,,
T,2023-10-13 02:47:22,-33.91799417,151.23200030,4.70,41.464,22.180,0.743,110,40,47,,
T,2023-10-13 02:47:23,-33.91799522,151.23201127,4.70,41.410,22.180,0.769,101,41,47,,
T,2023-10-13 02:47:24,-33.91799712,151.23202600,4.70,41.508,22.180,0.676,101,41,47,,
T,2023-10-13 02:47:25,-33.91800182,151.23203926,4.59,41.760,22.180,0.631,101,41,47,,
T,2023-10-13 02:47:26,-33.91800216,151.23205190,4.55,41.997,22.180,0.733,110,41,47,,
